"filename", "language", "XML", "JSON", "YAML", "MS SQL", "Java Properties", "Batch", "Java", "comment", "blank", "total"
"d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\EmbedResponse.class", "Java", 0, 0, 0, 0, 0, 0, 9, 0, 0, 9
"d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\ErrorResponse.class", "Java", 0, 0, 0, 0, 0, 0, 9, 0, 0, 9
"d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\ForgotPasswordRequest.class", "Java", 0, 0, 0, 0, 0, 0, 12, 0, 0, 12
"d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\GlobalPaperDTO.class", "Java", 0, 0, 0, 0, 0, 0, 76, 0, 0, 76
"d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\GoogleLoginRequest.class", "Java", 0, 0, 0, 0, 0, 0, 10, 0, 0, 10
"d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\HarvestResult.class", "Java", 0, 0, 0, 0, 0, 0, 10, 0, 0, 10
"d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\InnerPaperSummaryDTO.class", "Java", 0, 0, 0, 0, 0, 0, 11, 0, 0, 11
"d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\LiteratureReview.class", "Java", 0, 0, 0, 0, 0, 0, 9, 0, 0, 9
"d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\LiteratureReviewRequest.class", "Java", 0, 0, 0, 0, 0, 0, 10, 0, 0, 10
"d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\LiteratureReviewResponse.class", "Java", 0, 0, 0, 0, 0, 0, 11, 0, 0, 11
"d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\LoginRequest.class", "Java", 0, 0, 0, 0, 0, 0, 10, 0, 0, 10
