Date : 2026-07-16 11:22:39
Directory : d:\spring_projects\anveshak\backend
Total : 296 files,  10973 codes, 134 comments, 1609 blanks, all 12716 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| d:\spring_projects\anveshak\backend\src\main\resources\db\migration\V6__create_paper_citations.sql                  | MS SQL          |          6 |          0 |          0 |          6 |
| d:\spring_projects\anveshak\backend\src\main\resources\db\migration\V7__update_embedding_size.sql                   | MS SQL          |          2 |          0 |          1 |          3 |
| d:\spring_projects\anveshak\backend\src\main\resources\db\migration\V8__global_papers.sql                           | MS SQL          |         23 |          0 |          4 |         27 |
| d:\spring_projects\anveshak\backend\src\main\resources\openapi.yml                                                  | YAML            |      1,280 |          0 |         72 |      1,352 |
| d:\spring_projects\anveshak\backend\src\test\java\com\anveshak\AnveshakApplicationTest.java                         | Java            |          6 |          0 |          4 |         10 |
| d:\spring_projects\anveshak\backend\src\test\java\com\anveshak\AuthServiceTest.java                                 | Java            |         55 |          0 |         24 |         79 |
| d:\spring_projects\anveshak\backend\target\classes\META-INF\additional-spring-configuration-metadata.json           | JSON            |          5 |          0 |          0 |          5 |
| d:\spring_projects\anveshak\backend\target\classes\application.yml                                                  | YAML            |         58 |          0 |          8 |         66 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\AnveshakApplication.class                           | Java            |          8 |          0 |          0 |          8 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\AuthMessageResponse.class                      | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\AuthResponse.class                             | Java            |          9 |          0 |          0 |          9 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\ChangePasswordRequest.class                    | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\ChatMessageRequest.class                       | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\ChatMessageResponse.class                      | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\ChatSessionResponse.class                      | Java            |         10 |          0 |          0 |         10 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\CitationResponse.class                         | Java            |         11 |          0 |          0 |         11 |
| d:\spring_projects\anveshak\backend\target\classes\com\anveshak\DTOs\CollectionLookupRequest.class                  | Java            |         10 |          0 |          0 |         10 |
